portfolio,trade id,product,side,created at,size,size unit,price,fee,total,price/fee/total unit
default,0000001,ETH-EUR,BUY,2021-01-01T01:01:001.001Z,0.02260881,ETH,880.21,0.09950245924,-19.99999430724,EUR
default,0000001,ETH-EUR,BUY,2021-01-01T01:01:001.001Z,0.01816967,ETH,1095.20,0.099502454295,-19.999993313295,EUR
default,0000001,BTC-EUR,BUY,2021-01-01T01:01:001.001Z,0.00076647,BTC,25963,0.0995018372,-19.9998692772,EUR
default,0000001,BTC-EUR,BUY,2021-01-01T01:01:001.001Z,0.00076447,BTC,26033.43,0.099502272399,-19.999956752199,EUR
default,0000001,BTC-EUR,BUY,2021-01-01T01:01:001.001Z,0.00077457,BTC,24383.43,0.094438575134,-18.982153601934,EUR
default,0000001,BTC-EUR,BUY,2021-01-01T01:01:001.001Z,0.00004150,BTC,24388.43,0.005063069208,-1.017676910808,EUR
default,0000001,BTC-EUR,BUY,2021-01-01T01:01:001.001Z,0.00120407,BTC,24791.43,0.1492535177905,-29.9999570758905,EUR
default,0000001,BTC-EUR,BUY,2021-01-01T01:01:001.001Z,0.00002057,BTC,36451,0.0037525275,-0.7542580275,EUR
default,0000001,BTC-EUR,BUY,2021-01-01T01:01:001.001Z,0.00097940,BTC,36451,0.1784974725,-35.8779919725,EUR
default,0000001,BTC-EUR,BUY,2021-01-01T01:01:001.001Z,0.00200001,BTC,38801,0.388,-77.988,EUR
